id,texto,ticker_verdadero
v_0757,FOMO FUD this is the way,
v_0758,holding AMC SEC lets go,AMC
v_0759,buy $NOK lets go,NOK
v_0760,buy BB big buy energy today,
v_0761,buy BB big buy energy today WSB,
v_0762,FOMO WSB this is the way,
v_0763,holding BB lets go,BB
v_0764,wen lambo apes together strong,
v_0765,GME YOLO thoughts anyone,GME
v_0766,long $BB lets go,BB
v_0767,wen lambo apes together strong,
v_0768,buy GME lets go,GME
v_0769,holding $nok lets go,NOK
v_0770,holding $AMC WSB lets go,AMC
v_0771,game me some tendies lol no ticker,
v_0772,FOMO HODL this is the way,
v_0773,to the moon diamond hands not advice,
v_0774,buy BB big buy energy today,
v_0775,puts on TSLA lets go,TSLA
v_0776,game me some tendies lol no ticker,
v_0777,buy $NOK lets go,NOK
v_0778,holding $AMC lets go,AMC
v_0779,long $TSLA lets go,TSLA
v_0780,long $nok lets go,NOK
v_0781,FOMO ATH this is the way,
v_0782,puts on BB lets go,BB
v_0783,squeeze on TSLA lets go,TSLA
v_0784,puts on $NOK lets go,NOK
v_0785,squeeze on BB lets go,BB
v_0786,long $BB lets go,BB
v_0787,wen lambo apes together strong,
v_0788,YOLO CEO this is the way,
v_0789,game me some tendies lol no ticker,
v_0790,holding BB lets go,BB
v_0791,buy BB big buy energy today,
v_0792,buy GME lets go,GME
v_0793,long $amc lets go,AMC
v_0794,buy $GME lets go,GME
v_0795,DD SEC this is the way,
v_0796,to the moon diamond hands not advice,
v_0797,AMC thoughts anyone,AMC
v_0798,to the moon diamond hands not advice,
v_0799,wen lambo apes together strong,
v_0800,game me some tendies lol no ticker,
v_0801,long NOK lets go,NOK
v_0802,holding $AMC lets go,AMC
v_0803,buy NOK FUD lets go,NOK
v_0804,long GME lets go,GME
v_0805,buy BB big buy energy today,
v_0806,puts on $bb lets go,BB
v_0807,SEC CEO this is the way,
v_0808,HODL FUD this is the way,
v_0809,buy NOK lets go,NOK
v_0810,CEO FUD this is the way,
v_0811,to the moon diamond hands not advice,
v_0812,holding $amc lets go,AMC
v_0813,holding GME lets go,GME
v_0814,long $AMC lets go,AMC
v_0815,buy BB big buy energy today,
v_0816,buy BB big buy energy today,
v_0817,puts on $amc lets go,AMC
v_0818,HODL YOLO this is the way,
v_0819,wen lambo apes together strong,
v_0820,wen lambo apes together strong,
v_0821,buy TSLA lets go,TSLA
v_0822,holding TSLA lets go,TSLA
v_0823,wen lambo apes together strong,
v_0824,wen lambo apes together strong,
v_0825,wen lambo apes together strong,
v_0826,buy BB ATH lets go,BB
v_0827,ATH FOMO this is the way,
v_0828,HODL FOMO this is the way,
v_0829,FOMO WSB this is the way,
v_0830,wen lambo apes together strong,
v_0831,long $TSLA lets go,TSLA
v_0832,buy $BB lets go,BB
v_0833,squeeze on TSLA lets go,TSLA
v_0834,NOK thoughts anyone,NOK
v_0835,to the moon diamond hands not advice,
v_0836,puts on AMC lets go,AMC
v_0837,buy $AMC HODL lets go,AMC
v_0838,squeeze on $AMC HODL lets go,AMC
v_0839,buy AMC lets go,AMC
v_0840,buy TSLA lets go,TSLA
v_0841,YOLO DD this is the way,
v_0842,wen lambo apes together strong,
v_0843,ATH SEC this is the way,
v_0844,wen lambo apes together strong,
v_0845,holding AMC lets go,AMC
v_0846,puts on $NOK lets go,NOK
v_0847,long $TSLA lets go,TSLA
v_0848,game me some tendies lol no ticker,
v_0849,DD WSB this is the way,
v_0850,puts on BB lets go,BB
v_0851,buy GME lets go,GME
v_0852,wen lambo apes together strong,
v_0853,holding $TSLA lets go,TSLA
v_0854,squeeze on $AMC lets go,AMC
v_0855,ATH YOLO this is the way,
v_0856,squeeze on bb lets go,BB
v_0857,buy $BB lets go,BB
v_0858,buy $BB FUD lets go,BB
v_0859,puts on $bb lets go,BB
v_0860,holding $TSLA lets go,TSLA
v_0861,holding BB lets go,BB
v_0862,BB thoughts anyone,BB
v_0863,squeeze on AMC lets go,AMC
v_0864,WSB WSB this is the way,
v_0865,to the moon diamond hands not advice,
v_0866,YOLO SEC this is the way,
v_0867,ATH CEO this is the way,
v_0868,CEO YOLO this is the way,
v_0869,to the moon diamond hands not advice,
v_0870,wen lambo apes together strong,
v_0871,holding $tsla lets go,TSLA
v_0872,puts on $tsla lets go,TSLA
v_0873,puts on $amc lets go,AMC
v_0874,wen lambo apes together strong,
v_0875,TSLA thoughts anyone,TSLA
v_0876,AMC thoughts anyone,AMC
v_0877,buy $BB lets go,BB
v_0878,buy BB big buy energy today,
v_0879,to the moon diamond hands not advice,
v_0880,FOMO HODL this is the way,
v_0881,game me some tendies lol no ticker,
v_0882,squeeze on $BB lets go,BB
v_0883,holding AMC lets go,AMC
v_0884,GME thoughts anyone,GME
v_0885,buy TSLA lets go,TSLA
v_0886,to the moon diamond hands not advice,
v_0887,game me some tendies lol no ticker,
v_0888,NOK thoughts anyone,NOK
v_0889,puts on bb lets go,BB
v_0890,buy AMC lets go,AMC
v_0891,squeeze on TSLA lets go,TSLA
v_0892,wen lambo apes together strong,
v_0893,squeeze on NOK lets go,NOK
v_0894,game me some tendies lol no ticker,
v_0895,game me some tendies lol no ticker,
v_0896,squeeze on BB lets go,BB
v_0897,long AMC lets go,AMC
v_0898,puts on $GME lets go,GME
v_0899,squeeze on AMC lets go,AMC
v_0900,ATH WSB this is the way,
v_0901,game me some tendies lol no ticker,
v_0902,puts on AMC lets go,AMC
v_0903,game me some tendies lol no ticker,
v_0904,holding GME FOMO lets go,GME
v_0905,buy $NOK lets go,NOK
v_0906,CEO FUD this is the way,
v_0907,BB thoughts anyone,BB
v_0908,buy TSLA lets go,TSLA
v_0909,puts on $AMC lets go,AMC
v_0910,NOK thoughts anyone,NOK
v_0911,TSLA thoughts anyone,TSLA
v_0912,FUD HODL this is the way,
v_0913,CEO WSB this is the way,
v_0914,squeeze on $TSLA lets go,TSLA
v_0915,buy $bb lets go,BB
v_0916,buy $AMC lets go,AMC
v_0917,holding GME lets go,GME
v_0918,holding $NOK lets go,NOK
v_0919,HODL FOMO this is the way,
v_0920,buy BB big buy energy today,
v_0921,wen lambo apes together strong,
v_0922,buy BB big buy energy today,
v_0923,holding NOK lets go,NOK
v_0924,wen lambo apes together strong,
v_0925,holding BB lets go,BB
v_0926,TSLA thoughts anyone,TSLA
v_0927,wen lambo apes together strong,
v_0928,squeeze on $GME lets go,GME
v_0929,game me some tendies lol no ticker,
v_0930,squeeze on TSLA lets go,TSLA
v_0931,buy BB big buy energy today,
v_0932,buy BB big buy energy today,
v_0933,to the moon diamond hands not advice,
v_0934,WSB FUD this is the way,
v_0935,squeeze on $NOK lets go,NOK
v_0936,game me some tendies lol no ticker,
v_0937,SEC YOLO this is the way,
v_0938,to the moon diamond hands not advice,
v_0939,wen lambo apes together strong,
v_0940,game me some tendies lol no ticker,
v_0941,squeeze on GME lets go,GME
v_0942,puts on $TSLA lets go,TSLA
v_0943,squeeze on $AMC lets go,AMC
v_0944,puts on gme lets go,GME
v_0945,AMC thoughts anyone,AMC
v_0946,HODL YOLO this is the way,
v_0947,HODL CEO this is the way,
v_0948,buy BB lets go,BB
v_0949,CEO HODL this is the way,
v_0950,game me some tendies lol no ticker,
v_0951,game me some tendies lol no ticker,
v_0952,to the moon diamond hands not advice,
v_0953,SEC FOMO this is the way,
v_0954,puts on $BB lets go,BB
v_0955,FUD FUD this is the way,
v_0956,long $amc lets go,AMC
v_0957,puts on $NOK lets go,NOK
v_0958,holding BB lets go,BB
v_0959,puts on $TSLA lets go,TSLA
v_0960,SEC HODL this is the way,
v_0961,NOK thoughts anyone,NOK
v_0962,buy BB big buy energy today,
v_0963,buy $BB lets go,BB
v_0964,puts on $bb lets go,BB
v_0965,squeeze on $TSLA lets go,TSLA
v_0966,holding AMC lets go,AMC
v_0967,game me some tendies lol no ticker,
v_0968,game me some tendies lol no ticker,
v_0969,wen lambo apes together strong,
v_0970,buy AMC lets go,AMC
v_0971,buy BB big buy energy today,
v_0972,BB thoughts anyone,BB
v_0973,HODL HODL this is the way,
v_0974,HODL YOLO this is the way,
v_0975,squeeze on $BB lets go,BB
v_0976,buy BB big buy energy today,
v_0977,puts on NOK lets go,NOK
v_0978,wen lambo apes together strong,
v_0979,game me some tendies lol no ticker,
v_0980,holding $amc WSB lets go,AMC
v_0981,TSLA thoughts anyone,TSLA
v_0982,holding amc lets go,AMC
v_0983,holding TSLA lets go,TSLA
v_0984,long BB lets go,BB
v_0985,buy NOK lets go,NOK
v_0986,wen lambo apes together strong,
v_0987,game me some tendies lol no ticker,
v_0988,wen lambo apes together strong,
v_0989,long AMC lets go,AMC
v_0990,puts on BB FOMO lets go,BB
v_0991,to the moon diamond hands not advice,
v_0992,squeeze on $tsla lets go,TSLA
v_0993,buy AMC lets go,AMC
v_0994,buy AMC lets go,AMC
v_0995,squeeze on $AMC lets go,AMC
v_0996,to the moon diamond hands not advice,
v_0997,buy TSLA lets go,TSLA
v_0998,puts on $bb lets go,BB
v_0999,holding TSLA lets go,TSLA
